2017-08-17 11:23:12, 1.3.6.1.4.1.25728.8800.1.1.2.1, inbox temperature, 31
2017-08-17 14:45:33, 1.3.6.1.4.1.99999.1.1.7, Pin status, 0
2017-08-17 14:45:33, 1.3.6.1.4.1.99999.1.1.8, IMSI, 0
2017-08-17 14:45:33, 1.3.6.1.4.1.99999.1.1.9, Mobile network registration status, 0
2017-08-17 14:45:34, 1.3.6.1.4.1.99999.1.1.10, Signal level, 0
2017-08-17 14:45:34, 1.3.6.1.4.1.99999.1.1.11, Operator currently in use, 0
2017-08-17 14:45:34, 1.3.6.1.4.1.99999.1.1.12, Operator number (MCC+MNC), 0
2017-08-17 14:45:34, 1.3.6.1.4.1.99999.1.1.13, Data session connection state, 0
2017-08-17 14:45:35, 1.3.6.1.4.1.99999.1.1.14, Data session connection type, 0
2017-08-17 14:45:35, 1.3.6.1.4.1.99999.1.1.15, Signal strength trap, 0
2017-08-17 14:45:35, 1.3.6.1.4.1.99999.1.1.16, Connection type trap, 0
2017-08-17 14:45:35, 1.3.6.1.2.1.25.2.2.0, hrMemorySize, 8283792
2017-08-17 14:45:35, 1.3.6.1.2.1.1.5.0, sysName, DESKTOP-M4RLJ8V
2017-08-17 14:45:35, 1.3.6.1.2.1.1.3.0, sysUpTime, 31387348
2017-08-17 14:45:35, 1.3.6.1.2.1.25.3.3.1.1, hrProcessorLoad, 0
2017-08-17 14:45:36, 1.3.6.1.4.1.25728.8800.1.1.2.1, inbox temperature, 31
2017-08-17 14:45:36, 1.3.6.1.4.1.25728.8800.1.1.2.2, construction temperature, 0
2017-08-17 14:45:36, 1.3.6.1.4.1.25728.8900.1.1.2.1, PC power socket, 0
2017-08-17 14:45:36, 1.3.6.1.4.1.25728.8900.1.1.2.2, Contactor power socket, 0
2017-08-17 14:45:37, 1.3.6.1.4.1.25728.8900.1.1.2.3, 220V Power, 1
2017-08-17 14:45:37, 1.3.6.1.4.1.25728.8900.1.1.2.4, Door Box, 0
2017-08-17 15:02:06, 1.3.6.1.4.1.25728.8800.1.1.2.1, inbox temperature, 31
2017-08-17 15:02:06, 1.3.6.1.4.1.25728.8800.1.1.2.2, construction temperature, 0
2017-08-17 15:02:07, 1.3.6.1.4.1.25728.8900.1.1.2.1, PC power socket, 0
2017-08-17 15:02:07, 1.3.6.1.4.1.25728.8900.1.1.2.2, Contactor power socket, 0
2017-08-17 15:02:07, 1.3.6.1.4.1.25728.8900.1.1.2.3, 220V Power, 1
2017-08-17 15:02:08, 1.3.6.1.4.1.25728.8900.1.1.2.4, Door Box, 0
2017-08-17 15:02:08, 1.3.6.1.4.1.99999.1.1.1, Modem IMEI, 0
2017-08-17 15:02:08, 1.3.6.1.4.1.99999.1.1.2, Modem model, 0
2017-08-17 15:02:09, 1.3.6.1.4.1.99999.1.1.3, Modem manufacturer, 0
2017-08-17 15:02:09, 1.3.6.1.4.1.99999.1.1.4, Modem revision, 0
2017-08-17 15:02:09, 1.3.6.1.4.1.99999.1.1.5, Modem serial number, 0
